"","Area","Classification","Fiscal.Year","Customer","Amount"
"1","Services","Effective Competition","1988","Navy",992000
"2","Products","No competition","1988","Navy",1524000
"3","Services","Competition with single offer","1989","Army",-36000
"4","Services","Unlabeled","1989","Army",177000
"5","Products","Effective Competition","1989","Army",19480000
"6","Services","No competition","1989","Navy",53686000
"7","Services","Effective Competition","1989","Navy",156000
"8","Products","Unlabeled","1989","Navy",93755000
"9","Services","Competition with single offer","1990","Air Force",55500000
"10","Services","Unlabeled","1990","Air Force",51725000
"11","Services","No competition","1990","Air Force",568299000
"12","Products","No competition","1990","Air Force",3565551000
"13","R&D","No competition","1990","Air Force",1037790000
"14","Services","No competition","1990","Army",159484000
"15","Services","Unlabeled","1990","Army",86044000
"16","Services","No competition","1990","Army",57169000
"17","Services","Competition with single offer","1990","Army",2355000
"18","Services","No competition","1990","Army",148654000
"19","Services","Unlabeled","1990","Army",108509000
"20","R&D","No competition","1990","Army",119903000
"21","Services","No competition","1990","DLA",57000
"22","Services","Unlabeled","1990","DLA",363000
"23","Services","Competition with single offer","1990","DLA",6945000
"24","Services","No competition","1990","DLA",4019000
"25","Services","Competition with single offer","1990","DLA",32000
"26","Services","No competition","1990","DLA",3036000
"27","Services","No competition","1990","Navy",72733000
"28","Services","Unlabeled","1990","Navy",17162000
"29","Services","No competition","1990","Navy",275160000
"30","Services","No competition","1990","Navy",127000
"31","Products","Unlabeled","1990","Navy",5622490000
"32","R&D","Unlabeled","1990","Navy",375761000
"33","Services","Effective Competition","1990","Other DoD",21164000
"34","Services","No competition","1990","Other DoD",32087000
"35","Services","Competition with single offer","1990","Other DoD",44108000
"36","Services","No competition","1990","Other DoD",-11000
"37","Services","Unlabeled","1990","Other DoD",835000
"38","Services","Competition with single offer","1991","Air Force",167014000
"39","Services","Effective Competition","1991","Air Force",486269000
"40","Services","Unlabeled","1991","Air Force",38673000
"41","Services","Competition with single offer","1991","Air Force",218115000
"42","R&D","No competition","1991","Air Force",1638026000
"43","Services","No competition","1991","Army",295057000
"44","Services","Effective Competition","1991","Army",115590000
"45","Services","No competition","1991","Army",3990000
"46","R&D","Competition with single offer","1991","Army",246255000
"47","R&D","No competition","1991","Army",1182882000
"48","R&D","No competition","1991","Army",329990000
"49","Services","No competition","1991","DLA",1415000
"50","Services","Competition with single offer","1991","DLA",348000
"51","R&D","Competition with single offer","1991","DLA",116000
"52","Services","Competition with single offer","1991","Navy",112823357
"53","Services","No competition","1991","Navy",204000
"54","R&D","Effective Competition","1991","Navy",1396596566
"55","Services","Competition with single offer","1991","Other DoD",52564000
"56","Services","No competition","1991","Other DoD",29080000
"57","Products","Unlabeled","1991","Other DoD",1087000
"58","R&D","No competition","1991","Other DoD",365172000
"59","R&D","No competition","1991","Other DoD",96761000
"60","Services","Effective Competition","1988","Army",-35000
"61","Services","No competition","1988","Army",73000
"62","Services","No competition","1988","Navy",-332000
"63","Services","No competition","1988","Navy",591000
"64","Products","Unlabeled","1988","Navy",53000
"65","R&D","No competition","1988","Navy",148000
"66","Services","No competition","1989","Army",45000
"67","R&D","No competition","1989","Army",11117000
"68","Services","Unlabeled","1989","Navy",475000
"69","Services","No competition","1989","Navy",327000
"70","Services","No competition","1989","Navy",18179000
"71","Services","No competition","1989","Other DoD",39000
"72","Services","Effective Competition","1989","Other DoD",3079000
